SampleID,SamDate,Lat,Lon,YearDug,WellAge,WellType,WellDepth,District,Thana,Arsenic,DEM,RAIN,GWD,SAND,LOAM,HCOND,USC,RCHG,RTRND,IRRIG
S98_02832,25/05/1998 00:00,24.59,92.118,1996,2,STW,33,Maulvibazar,Kulaura,2,15.6717171,3076.806767,4.832519536,5.455002723,48.16644452,9.870719825,13.7140901,49.56780722,-0.07167631,-0.089558596
S99_06199,11/06/1999 00:00,24.981,89.2047,1996,3,TARA,25.3,Bogra,Shibganj (B),2,20.15058971,1817.382358,8.651832419,0,3,57.34845805,16.71630837,288.5769464,3.108763458,9.739816487
S99_06261,20/06/1999 00:00,25.8471,89.699,1987,12,HTW,12.2,Kurigram,Kurigram Sadar,2,27.04765403,2584.367697,6.294327873,20.0690542,77.30802121,31.54568303,6.639940631,396.5188651,6.284614837,9.019966927
S99_04253,17/06/1999 00:00,25.6457,89.8024,1993,6,HTW,18,Kurigram,Raumari,2,25.25535744,2440.081045,6.939615076,26.99646963,72,39.32228107,4.795649914,445.3049362,7.176728946,6.807740362
S99_05200,09/06/1999 00:00,24.1341,89.7839,1998,1,HTW,13.7,Sirajganj,Chauhali,2,11.29367994,1702.626984,7.217476709,26.99633347,72.0002809,54.92224582,5.647597916,466.2229926,3.555828024,1.76077406
S98_03672,09/05/1998 00:00,22.465,90.066,1997,1,STW,13,Jhalakati,Kathalia,2,3.798613722,2235.243172,1.72732037,0,17,14.59207228,24.31566053,22.20641607,-0.117943788,0.189914186
S99_06189,10/06/1999 00:00,24.7918,89.2755,1994,5,HTW,25.3,Bogra,Kahaloo,2,18.97689823,1751.121277,9.200827351,0,3,57.02273605,16.60187824,365.8844838,2.633611915,10.92044117
S98_04351,17/05/1998 00:00,23.049,91.352,1995,3,STW,34,Feni,Feni Sadar,2,7.812136547,2674.253002,8.748314438,0.264212784,86.38115916,13.2313756,10.54160972,110.7122072,1.402321356,4.045548043
S99_05137,30/05/1999 00:00,24.8146,90.1194,1996,3,HTW,32,Jamalpur,Jamalpur Sadar,2,16.270521,2348.53663,7.250581278,4.068330262,63.11591059,20.90212334,20.14121455,205.6243392,2.54323054,7.431567548
S98_03592,05/05/1998 00:00,22.296,89.979,1984,14,STW,15,Pirojpur,Mathbaria,2,3.240278133,2392.981848,2.172397564,0,17,15.00045604,26.53558457,20.09544198,-0.089838317,0.038576184
S99_07297,22/06/1999 00:00,25.8383,88.4719,1998,1,HTW,22.6,Dinajpur,Bochaganj,2,44.17580806,2140.736845,5.531394543,10,82,31.76660624,3.776904117,303.5152955,9.549127477,14.4983496
S98_04121,25/04/1998 00:00,23.553,91.128,1984,14,DTW,118,Comilla,Burichang,2,8.43243555,1939.753915,12.79400843,2.49055032,59.57020741,13.40750775,19.10864313,236.1187348,1.782879983,6.684008973
S99_05055,18/05/1999 00:00,25.0075,90.8097,1984,15,HTW,69.8,Netrokona,Kalmakanda,2,9.450134883,3627.822197,7.69334564,3.770580456,44.67486111,13.05489215,16.66118959,74.2123283,1.393865118,8.239258528
S99_05297,23/06/1999 00:00,25.5312,88.6187,1998,1,TARA,32.3,Dinajpur,Dinajpur Sadar,2,32.34101249,1867.559149,5.802417267,0.830751592,12.69705502,32.78837113,22.2893956,283.8767307,6.903134538,12.72493723
S99_04050,15/05/1999 00:00,24.2185,90.8973,1998,1,TARA,73.2,Kishoreganj,Bajitpur,2,10.42230684,2244.067971,6.57863374,5.902704168,71.97537111,16.13211471,10.21216564,93.84864632,1.372240907,7.896111023
S99_05289,22/06/1999 00:00,25.7724,88.6399,1972,27,HTW,36.6,Dinajpur,Kaharole,2,38.74714024,2101.774745,6.218238585,6.524071589,57.32565209,30.36210549,7.476516588,354.637545,7.930005056,12.96952608
S99_06247,17/06/1999 00:00,25.9781,89.6026,1969,30,HTW,14.6,Kurigram,Phulbari,2,31.11020223,2734.74858,4.785178721,6.038226166,88.03252103,32.60940716,6.997014379,318.5006612,5.34292683,11.61422258
